20/06/2014 02:06:41 INFO Administracion de Lineas Base de fase F3 del proyecto P2, hecho por ysapy
20/06/2014 02:06:47 INFO Consulta de Linea Base 1 de la fase F3 del proyecto P2, hecho por ysapy
20/06/2014 02:06:57 INFO Ingreso a Administracion de Fases, proyecto P2, hecho por ysapy
20/06/2014 02:07:07 INFO Lita de tipos de Item del proyecto P2, hecho por ysapy
20/06/2014 02:07:43 INFO Lita de tipos de Item del proyecto P2, hecho por ysapy
20/06/2014 02:08:28 INFO Administracion de Relaciones del item item242, hecho por ysapy
20/06/2014 02:08:36 INFO Lista de items relacionados con el item item242, hecho por ysapy
20/06/2014 02:08:42 INFO Crear relacion de item item242 con el item item142, hecho por ysapy
20/06/2014 02:08:54 INFO Administracion de Relaciones del item item142, hecho por ysapy
20/06/2014 02:08:55 INFO Lista de items relacionados con el item item142, hecho por ysapy
20/06/2014 02:09:09 INFO Crear relacion de item item142 con el item item332, hecho por ysapy
20/06/2014 02:10:27 INFO Administracion de Lineas Base de fase F4 del proyecto P2, hecho por ysapy
20/06/2014 02:10:50 INFO Generacion de Linea Base 1 de la fase F4 del proyecto P2, hecho por ysapy
20/06/2014 02:10:59 INFO Administracion de Lineas Base de fase F4 del proyecto P2, hecho por ysapy
20/06/2014 02:11:15 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:11:28 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por ysapy
20/06/2014 02:11:36 INFO Consulta de Comite None, hecho por ysapy
20/06/2014 02:11:40 INFO Administracion de Proyectos, hecho por ysapy
20/06/2014 02:11:43 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por ysapy
20/06/2014 02:12:03 INFO Creacion de Fase F1 proyecto P3, hecho por ysapy
20/06/2014 02:12:05 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por ysapy
20/06/2014 02:12:17 INFO Creacion de Fase F2 proyecto P3, hecho por ysapy
20/06/2014 02:12:20 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por ysapy
20/06/2014 02:12:39 INFO Creacion de Fase F3 proyecto P3, hecho por ysapy
20/06/2014 02:12:41 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por ysapy
20/06/2014 02:12:46 INFO Logout de Usuario 
20/06/2014 02:12:54 INFO Login de Usuario eduardo
20/06/2014 02:12:54 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 02:13:12 INFO Modificacion de proyecto P3, hecho por eduardo
20/06/2014 02:13:14 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 02:13:19 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por eduardo
20/06/2014 02:13:27 INFO Agregacion de miembros de comite None, hecho por eduardo 
20/06/2014 02:13:31 INFO Ingreso a Administracion de Fases, proyecto P3, hecho por eduardo
20/06/2014 02:13:35 INFO Administracion de Proyectos, hecho por eduardo
20/06/2014 02:13:53 INFO Modificacion de proyecto P3, hecho por eduardo
